,ziemianarozdrozu
183,https://ziemianarozdrozu.pl/artykul/4407/pandemia-poglebila-nierownosci-jedyne-rozwiazanie:-przycisnac-super-bogatych
184,https://ziemianarozdrozu.pl/artykul/4406/zolw-blotny-wodniczka-i-prawie-200-innych-gatunkow-straci-siedliska-jesli-na-polesiu-powstanie-kopalnia
185,https://ziemianarozdrozu.pl/artykul/4405/oze-wygrywaja-z-paliwami-kopalnymi-w-ue-weglowa-polska-zostaje-w-tyle
186,https://ziemianarozdrozu.pl/artykul/4404/dlaczego-rok-2021-moze-byc-punktem-zwrotnym-w-ochronie-klimatu
187,https://ziemianarozdrozu.pl/artykul/4403/ekowyborca-analiza-pep-2040
188,https://ziemianarozdrozu.pl/artykul/4402/wielkie-turbiny-rozkrecaja-energetyke-wiatrowa
189,https://ziemianarozdrozu.pl/artykul/4401/kronika-rozdroza-2021-luty
190,https://ziemianarozdrozu.pl/artykul/4400/andrzej-gula:-polska-nie-ma-polityki-antysmogowej
191,https://ziemianarozdrozu.pl/artykul/4399/ryz-jako-wspolwinny-i-ofiara-zmiany-klimatu
192,https://ziemianarozdrozu.pl/artykul/4398/zielona-rewolucja-w-usa:-koniec-z-pozwoleniami-na-wydobycie-ropy
193,https://ziemianarozdrozu.pl/artykul/4397/rolnictwo-a-zmiany-klimatyczne:-od-problemu-do-czesci-rozwiazania
194,https://ziemianarozdrozu.pl/artykul/4396/raporty-emissions-gap-report-2020-oraz-global-carbon-budget-2020
195,https://ziemianarozdrozu.pl/artykul/4395/najwieksze-zagrozenia-dla-swiata-2021:-zniszczenie-srodowiska-choroby-i-kryzys-finansowy
196,https://ziemianarozdrozu.pl/artykul/4394/gospodarki-rozwijajace-sie-potrzebuja-sprawiedliwszego-wsparcia-na-drodze-do-dekarbonizacji
197,https://ziemianarozdrozu.pl/artykul/4393/klimatyczna-bzdura-roku-2020
198,https://ziemianarozdrozu.pl/artykul/4392/gesty-smog-na-czwarta-rocznice-ogloszenia-przez-rzad-walki-ze-smogiem
199,https://ziemianarozdrozu.pl/artykul/4391/mokry-sen-o-warszawie
200,https://ziemianarozdrozu.pl/artykul/4390/kiedy-zniknie-wieloletni-lod-bedzie-juz-koniec
201,https://ziemianarozdrozu.pl/artykul/4389/powietrze-w-krakowie-mimo-wszystko-czystsze-duzy-smog-dwa-razy-rzadziej-niz-w-2018-roku
202,https://ziemianarozdrozu.pl/artykul/4388/rudawy-w-„uranii”-o-ociepleniu-klimatu-czyli-czemu-warto-aktualizowac-informacje
203,https://ziemianarozdrozu.pl/artykul/4387/jak-policzyc-plamy-na-sloncu
204,https://ziemianarozdrozu.pl/artykul/4386/zanieczyszczenie-swiatlem-zaburza-rytm-zycia-ludzi-i-przyrody-w-uk-chca-z-nim-walczyc
205,https://ziemianarozdrozu.pl/artykul/4385/kronika-rozdroza-2021-styczen
206,https://ziemianarozdrozu.pl/artykul/4384/wymieranie-sloni-ujawnione-w-badaniach-wraku-statku-sprzed-pol-tysiaca-lat
207,https://ziemianarozdrozu.pl/artykul/4383/gorniczy-eksperci-pge-giek-neguja-zmiane-klimatu
208,https://ziemianarozdrozu.pl/artykul/4382/szukam-chetnych-do-zajecia-sie-strona-'ziemia-na-rozdrozu'
209,https://ziemianarozdrozu.pl/artykul/4381/gdy-wprowadzaja-sie-bobry…
210,https://ziemianarozdrozu.pl/artykul/4380/okopress-robert-jurszo-9-grudnia-2020-„w-mentalnosci-wielu-lesnikow-kryje-sie-przekonanie-ze-sa-wlascicielami-lasow”
211,https://ziemianarozdrozu.pl/artykul/4379/miasta-wobec-wyzwan-klimatycznych-–-transformacja-nie-kontynuacja
212,https://ziemianarozdrozu.pl/artykul/4378/hipotetyczny-scenariusz:-co-ludzkosc-ma-zrobic-z-illianami-jaka-bylaby-twoja-decyzja
213,https://ziemianarozdrozu.pl/artykul/4377/40-tys-zgonow-rocznie-bo-polska-nie-walczy-ze-smogiem-raport-nik-obnaza-fikcje
214,https://ziemianarozdrozu.pl/artykul/4376/do-konca-wieku-moze-zniknac-nawet-92-proc-lodowcow-w-alpach
215,https://ziemianarozdrozu.pl/artykul/4375/ostatnia-elektrownia-w-polsce-bedzie-zamknieta-w-2037-roku-“pojawiaja-sie-rozbiezne-cele-i-daty”
216,https://ziemianarozdrozu.pl/artykul/4374/o-reformie-lasow-mowimy-powaznie
217,https://ziemianarozdrozu.pl/artykul/4373/polskie-instytucje-panstwowe-kazdego-dnia-niszcza-przyrode-rzek-i-ich-dolin
218,https://ziemianarozdrozu.pl/artykul/4372/komisja-europejska:-polska-niewystarczajaco-chroni-lasy-bedzie-kolejny-proces-przed-tsue
219,https://ziemianarozdrozu.pl/artykul/4371/zmiany-klimatu-–-jak-wplyna-na-nasze-zycie
220,https://ziemianarozdrozu.pl/artykul/4370/jesli-przeszlosc-jest-przewodnikiem-arktyka-moze-stac-na-skraju-rozpadu-wiecznej-zmarzliny
221,https://ziemianarozdrozu.pl/artykul/4369/nie-chce-aby-ludzie-wpadali-w-panike-wywiad-grety-thunberg
222,https://ziemianarozdrozu.pl/artykul/4368/1procent-ludzi-odpowiada-za-polowe-emisji-co2-z-lotnictwa
223,https://ziemianarozdrozu.pl/artykul/4367/co-maja-opony-samochodowe-do-wymierania-ryb
224,https://ziemianarozdrozu.pl/artykul/4366/kronika-rozdroza-2020-grudzien
225,https://ziemianarozdrozu.pl/artykul/4365/polskie-powietrze-powoduje-raka-mamy-najwyzsze-stezenia-benzoapirenu-w-europie
226,https://ziemianarozdrozu.pl/artykul/4364/lasy-zblizaja-sie-do-“punktu-krytycznego”-w-amazonii-pod-wycinke-pojdzie-24-mln-hektarow
